time_sec	shot
2874.604	483
2878.152	484
2879.234	485
2880.904	486
2884.452	487
2885.785	488
2887.327	489
2891.915	490
2894.167	491
2902.551	492
2905.846	493
2907.556	494
2913.48	495
2926.28	496
2947.052	497
2948.265	498
2949.808	499
2954.059	500
2955.852	501
2959.484	502
2961.86	503
2965.406	504
3023.421	505
3032.012	506
3044.192	507
3052.949	508
3079.478	509
3082.603	510
3096.953	511
3098.16	512
3100.415	513
3103.503	514
3104.836	515
3110.425	516
3119.223	517
3135.368	518
3148.171	519
3182.873	520
3190.711	521
3193.339	522
3203.642	523
3216.489	524
3222.204	525
3226.123	526
3234.421	527
3237.052	528
3239.847	529
3241.683	530
3244.144	531
3245.77	532
3251.234	533
3252.899	534
3256.073	535
3259.826	536
3262.707	537
3266.374	538
3301.367	539
3304.246	540
3316.465	541
3318.135	542
3320.302	543
3327.89	544
3333.606	545
3335.109	546
3339.196	547
3350.541	548
3376.189	549
3379.029	550
3381.321	551
3397.921	552
3401.926	553
3403.716	554
3406.512	555
3410.14	556
3454.728	557
3462.069	558
3473.415	559
3476.459	560
3483.965	561
3500.899	562
3502.735	563
3504.692	564
3510.075	565
3515.623	566
3598.913	567
3600.623	568
3604.502	569
3612.466	570
3621.519	571
3641.248	572
3645.294	573
3674.782	574
3675.908	575
3679.577	576
3691.09	577
3708.19	578
3722.453	579
3725.04	580
3732.214	581
3764.079	582
3766.748	583
3774.628	584
3782.428	585
3786.56	586
3795.151	587
3797.195	588
3800.197	589
3807.201	590
3812.044	591
3816.63	592
3818.342	593
3821.803	594
3825.35	595
3827.768	596
3829.895	597
3831.771	598
3837.86	599
3840.112	600
3843.116	601
3847.163	602
3854.752	603
3861.843	604
3867.514	605
3871.558	606
3875.647	607
3877.483	608
3879.98	609
3881.403	610
3889.913	611
3892.288	612
3896.253	613
3900.88	614
3907.052	615
3913.812	616
3916.021	617
3918.732	618
3925.611	619
3927.492	620
3930.16	621
3932.118	622
3938.254	623
3941.047	624
3942.799	625
3949.264	626
3962.153	627
3965.406	628
3974.498	629
3983.211	630
4000.607	631
4003.276	632
4005.112	633
4012.076	634
4019.168	635
4033.348	636
4045.61	637
4053.41	638
4075.265	639
4076.266	640
4077.518	641
4079.52	642
4082.476	643
4091.863	644
4098.288	645
4103.209	646
4104.545	647
4104.962	648
4106.004	649
4108.046	650
4116.056	651
4121.187	652
4123.185	653
4123.894	654
4127.151	655
4128.819	656
4131.654	657
4134.2	658
4136.78	659
4140.286	660
4143.914	661
4146.083	662
4149.463	663
4149.922	664
4151.047	665
4155.133	666
4157.22	667
4158.596	668
4159.806	669
4161.222	670
4162.182	671
4165.645	672
4166.771	673
4169.233	674
4170.94	675
4172.859	676
4173.861	677
4174.693	678
4176.613	679
4177.532	680
4178.239	681
4179.368	682
4183.497	683
4187.207	684
4192.128	685
4194.631	686
4197.094	687
4199.596	688
4201.765	689
4202.808	690
4205.727	691
4207.144	692
4208.352	693
4215.109	694
4216.527	695
4217.947	696
4219.971	697
4220.948	698
4230.667	699
4233.922	700
4239.177	701
4240.76	702
4243.807	703
4246.393	704
4247.743	705
4254.819	706
4259.278	707
4261.909	708
4263.41	709
4264.911	710
4266.204	711
4267.038	712
4268.955	713
4271.207	714
4275.045	715
4282.01	716
4287.934	717
4289.726	718
4291.605	719
4295.316	720
4298.109	721
4299.945	722
4306.535	723
4310.204	724
4312.708	725
4315.669	726
4318.463	727
4319.257	728
4319.757	729
4320.884	730
4322.718	731
4325.094	732
4327.013	733
4333.938	734
4336.44	735
4339.026	736
4340.945	737
4342.111	738
4350.536	739
4352.829	740
4356	741
4359.755	742
4363.008	743
4368.595	744
4382.609	745
4384.404	746
4387.199	747
4388.45	748
4389.616	749
4391.036	750
4392.161	751
4393.247	752
4393.496	753
4394.329	754
4394.79	755
4395.623	756
4396.666	757
4398.253	758
4400.627	759
4403.756	760
4426.946	761
4429.116	762
4432.87	763
4434.747	764
4438.751	765
4442.211	766
4446.008	767
4452.599	768
4455.017	769
4464.777	770
4471.24	771
4485.964	772
4491.219	773
4496.682	774
4501.022	775
4508.446	776
4511.74	777
4516.662	778
4520.749	779
4523.919	780
4526.879	781
4542.227	782
4555.785	783
4573.095	784
4582.018	785
4595.533	786
4601.036	787
4606.711	788
4609.336	789
4612.009	790
4614.05	791
